CrimeDate,CrimeTime,CrimeCode,Location,Description,Weapon,Neighborhood,Location 1
10/23/15,23:02:00,7A,2800 W FRANKLIN ST,AUTO THEFT,,Penrose/Fayette Street Outreach,"(39.2930400000, -76.6628200000)"
10/23/15,23:30:00,7A,2600 KENNEDY AVE,AUTO THEFT,,Coldstream Homestead Montebello,"(39.3217000000, -76.5957700000)"
10/23/15,23:31:00,4D,0 N HOWARD ST,AGG. ASSAULT,HANDS,Downtown,"(39.2894400000, -76.6194800000)"
10/22/15,13:23:49,2A,4000 PRIMROSE AVE,RAPE,OTHER,Glen,"(39.3511400000, -76.6932800000)"
10/22/15,13:30:00,6E,3700 DORCHESTER RD,LARCENY,,Callaway-Garrison,"(39.3282500000, -76.6783600000)"
10/22/15,13:30:00,6D,500 W LAFAYETTE AVE,LARCENY FROM AUTO,,Upton,"(39.3024300000, -76.6300700000)"
10/22/15,13:41:00,6C,3700 BOSTON ST,LARCENY,,Canton Industrial Area,"(39.2771000000, -76.5653800000)"
10/22/15,0:00:00,5A,400 SAINT MARY ST,BURGLARY,,Seton Hill,"(39.2978300000, -76.6225400000)"
10/22/15,0:15:00,3CF,600 W 33RD ST,ROBBERY - COMMERCIAL,FIREARM,Wyman Park,"(39.3271000000, -76.6273500000)"
10/22/15,0:40:00,5E,2400 N CHARLES ST,BURGLARY,,Old Goucher,"(39.3165200000, -76.6169400000)"
10/22/15,0:45:00,5D,2400 N CHARLES ST,BURGLARY,,Old Goucher,"(39.3174400000, -76.6170000000)"
10/22/15,1:00:00,3B,1500 RUSSELL ST,ROBBERY - STREET,,Carroll - Camden Industrial Area,"(39.2743800000, -76.6276300000)"
10/22/15,1:45:00,4E,800 SEAGULL AVE,COMMON ASSAULT,HANDS,Cherry Hill,"(39.2458500000, -76.6204000000)"
